phi1  Phi  phi2
2.940000000000000e+00  5.669999999999999e-01  3.256000000000000e+00
3.262000000000000e+00  5.669999999999999e-01  2.933000000000000e+00
3.262000000000000e+00  5.669999999999999e-01  3.195000000000000e+00
6.162000000000000e+00  5.669999999999999e-01  2.080000000000000e-01
2.010000000000000e-01  5.669999999999999e-01  6.082000000000000e+00
2.010000000000000e-01  5.669999999999999e-01  6.169000000000000e+00
2.856000000000000e+00  6.540000000000000e-01  3.253000000000001e+00
2.999000000000000e+00  6.540000000000000e-01  3.459000000000001e+00
3.284000000000000e+00  6.540000000000000e-01  2.824000000000000e+00
3.427000000000000e+00  6.540000000000000e-01  3.031000000000000e+00
5.998000000000000e+00  6.540000000000000e-01  1.110000000000000e-01
6.140000000000000e+00  6.540000000000000e-01  3.170000000000000e-01
1.430000000000000e-01  6.540000000000000e-01  5.966000000000000e+00
2.860000000000000e-01  6.540000000000000e-01  6.172000000000000e+00
2.789000000000000e+00  7.420000000000000e-01  3.320000000000000e+00
2.789000000000000e+00  7.420000000000000e-01  3.407000000000000e+00
2.789000000000000e+00  7.420000000000000e-01  3.494000000000001e+00
2.917000000000000e+00  7.420000000000000e-01  3.104000000000001e+00
3.045000000000000e+00  7.420000000000000e-01  2.976000000000000e+00
3.174000000000000e+00  7.420000000000000e-01  2.848000000000000e+00
3.174000000000000e+00  7.420000000000000e-01  3.371000000000000e+00
3.430000000000000e+00  7.420000000000000e-01  2.766000000000000e+00
5.995000000000000e+00  7.420000000000000e-01  3.760000000000000e-01
6.123000000000000e+00  7.420000000000000e-01  6.182000000000000e+00
6.123000000000000e+00  7.420000000000000e-01  3.350000000000000e-01
6.251000000000000e+00  7.420000000000000e-01  6.053000000000000e+00
9.600000000000000e-02  7.420000000000000e-01  1.660000000000000e-01
2.240000000000000e-01  7.420000000000000e-01  3.700000000000000e-02
3.530000000000000e-01  7.420000000000000e-01  5.931000000000000e+00
3.530000000000000e-01  7.420000000000000e-01  6.018000000000000e+00
3.530000000000000e-01  7.420000000000000e-01  6.105000000000001e+00
3.468000000000000e+00  8.290000000000000e-01  2.728000000000000e+00
4.642000000000000e+00  1.592000000000000e+00  3.734000000000000e+00
6.195000000000000e+00  9.810000000000000e-01  3.000000000000000e-02
6.197000000000000e+00  9.860000000000000e-01  8.999999999999999e-03
3.150000000000000e+00  2.147000000000000e+00  3.156000000000000e+00
1.567000000000000e+00  1.590000000000000e+00  4.122000000000000e+00
3.114000000000000e+00  5.850000000000000e-01  3.700000000000000e-02
1.000000000000000e-02  9.800000000000001e-01  6.262000000000000e+00
4.764000000000000e+00  1.501000000000000e+00  2.149000000000000e+00
3.238000000000000e+00  2.153000000000000e+00  6.900000000000001e-02
1.581000000000000e+00  1.518000000000000e+00  9.900000000000000e-01
1.592000000000000e+00  1.517000000000000e+00  9.840000000000000e-01
1.080000000000000e-01  2.552000000000000e+00  4.748000000000001e+00
6.700000000000000e-02  9.920000000000000e-01  1.592000000000000e+00
6.183000000000000e+00  5.840000000000000e-01  2.100000000000000e-02
6.166000000000001e+00  5.890000000000000e-01  3.187000000000000e+00
3.169000000000000e+00  9.880000000000001e-01  3.070000000000000e+00
3.157000000000000e+00  9.880000000000001e-01  4.642000000000000e+00
3.300000000000000e-02  5.890000000000000e-01  4.606000000000001e+00
6.188000000000001e+00  2.153000000000000e+00  1.503000000000000e+00
3.127000000000000e+00  9.810000000000000e-01  1.600000000000000e+00
3.178000000000000e+00  2.554000000000000e+00  4.749000000000000e+00
1.589000000000000e+00  1.595000000000000e+00  3.719000000000000e+00
3.172000000000000e+00  2.558000000000000e+00  1.521000000000000e+00
4.778000000000000e+00  1.599000000000000e+00  9.860000000000000e-01
1.461000000000000e+00  1.670000000000000e+00  9.070000000000000e-01
3.115000000000001e+00  2.233000000000000e+00  1.707000000000000e+00
3.109000000000000e+00  2.228000000000000e+00  1.320000000000000e-01
3.115000000000001e+00  2.220000000000000e+00  3.286000000000000e+00
3.196000000000000e+00  2.220000000000000e+00  4.899000000000000e+00
2.882000000000000e+00  6.570000000000000e-01  3.400000000000000e+00
4.557000000000000e+00  1.602000000000000e+00  2.236000000000000e+00
4.560000000000000e+00  1.583000000000000e+00  2.241000000000000e+00
4.556000000000001e+00  1.589000000000000e+00  5.370000000000000e+00
1.413000000000000e+00  1.543000000000000e+00  2.464000000000000e+00
4.568000000000000e+00  1.585000000000000e+00  5.384000000000000e+00
6.150000000000000e+00  2.468000000000000e+00  3.170000000000000e+00
3.079000000000000e+00  2.244000000000000e+00  4.748000000000001e+00
1.479000000000000e+00  1.594000000000000e+00  9.090000000000001e-01
1.481000000000000e+00  1.603000000000000e+00  5.608000000000000e+00
6.217000000000000e+00  9.030000000000000e-01  3.105000000000000e+00
3.081000000000000e+00  2.238000000000000e+00  4.750000000000000e+00
6.150000000000000e+00  2.470000000000000e+00  3.075000000000000e+00
3.003000000000000e+00  6.650000000000000e-01  5.800000000000000e-02
1.483000000000000e+00  1.609000000000000e+00  4.050000000000000e+00
1.481000000000000e+00  1.612000000000000e+00  9.110000000000000e-01
4.628000000000000e+00  1.547000000000000e+00  2.243000000000000e+00
3.023000000000000e+00  6.620000000000000e-01  3.187000000000000e+00
6.162000000000000e+00  2.467000000000000e+00  4.666000000000000e+00
1.486000000000000e+00  1.599000000000000e+00  9.040000000000000e-01
2.997000000000000e+00  6.760000000000000e-01  1.631000000000000e+00
3.006000000000000e+00  6.650000000000000e-01  5.900000000000000e-02
4.626000000000000e+00  1.547000000000000e+00  5.382000000000000e+00
