phi1      Phi     phi2
5.34519  2.47861  4.06084
3.52209  1.19918  3.27481
5.84090  1.64434  2.33932
4.37729  2.18423  5.88818
3.66179  2.50305  5.21211
5.12329  0.86696  5.33497
5.52301  2.27835  2.34070
6.21351  2.30886  3.72708
0.00328  1.23240  5.48241
5.43771  0.66198  5.86537
3.84887  1.53767  4.20008
6.22004  1.15337  1.29921
3.31551  2.33619  4.10826
3.01293  0.43490  0.45271
5.03501  1.48894  2.55555
1.43158  1.20310  4.19045
3.12962  2.75680  5.86677
5.66022  0.90408  5.09535
3.61070  1.05038  3.04450
5.31041  2.43353  4.75480
4.64102  1.52068  2.62038
3.68186  1.92658  6.10591
1.55028  1.47776  6.20763
4.18722  1.77444  5.42960
0.52454  1.74144  2.44343
3.93303  2.26338  2.85723
4.15284  2.08200  1.54998
4.58517  2.85400  4.92867
5.59676  0.55982  5.54704
6.17199  1.25834  5.74102
4.83194  0.52519  3.50782
3.65334  2.30902  3.76281
5.83277  0.56946  0.93542
3.64482  0.94058  5.65307
0.10671  1.41538  2.82991
0.75938  1.69101  1.29228
5.42057  2.07691  5.65267
3.04293  1.04270  4.79147
5.30838  2.14440  5.54482
1.31573  2.62930  1.79039
3.47015  1.00669  4.23000
3.95767  1.22132  4.17380
0.20101  1.12583  0.77167
3.86236  1.28271  2.55926
2.27710  1.73342  1.72968
0.31122  1.79106  4.50297
3.07606  0.88630  1.78055
1.20958  1.94458  5.63099
0.77336  0.89043  5.19354
1.29116  0.95434  2.45062
0.92058  0.78904  3.12842
1.18798  1.55952  4.36559
0.26799  1.29603  5.24250
3.99106  0.44691  3.83042
1.77102  1.68310  3.61117
3.38411  2.64658  2.04858
4.36784  0.74734  2.86780
3.13604  1.30531  4.48490
3.36653  1.86487  5.55688
2.79717  0.10954  4.52927
0.77869  2.15515  0.11695
3.08101  1.26096  4.23975
5.35954  1.35924  2.75523
5.49105  1.79827  2.75090
1.69831  2.36831  0.73536
1.30980  2.82317  5.11879
3.54988  1.72923  2.04113
4.02319  2.25467  1.54710
2.62026  1.10229  2.15333
1.29418  1.83307  2.36054
5.95604  0.81877  3.43409
0.51567  1.08325  3.53064
0.66419  1.42826  2.48702
0.89247  2.27350  2.50153
1.04590  0.41586  3.23814
3.90160  2.05935  4.13139
3.60473  0.55640  5.97477
0.32721  2.15611  4.53864
5.85090  1.82645  2.51378
4.57831  2.54099  5.22681
4.63600  1.28676  0.84407
0.39838  2.26369  0.37992
5.40631  2.71383  0.52934
5.87104  1.10812  1.02980
6.18515  1.88087  2.03713
5.39687  1.24377  1.89581
4.93581  1.80519  0.07339
3.22565  1.31327  3.39233
1.11591  2.84625  0.59924
2.50441  0.60739  0.92058
0.84152  0.92590  3.96558
0.19408  1.05676  5.39926
5.90080  0.89409  6.12122
1.89316  1.80636  3.58669
1.85689  1.33403  6.26339
2.09190  1.41923  3.47800
2.93468  1.51066  3.23872
4.07274  2.03741  2.07774
0.15851  2.09757  2.70179
5.29173  1.66767  3.09011
3.51251  2.14669  0.44634
5.36647  0.91613  5.57783
2.18580  0.23631  0.40610
2.80248  2.79347  2.74064
0.34080  1.49941  5.19387
1.11280  2.54249  2.47893
4.16455  0.92206  3.85458
2.07865  0.20875  5.14368
5.64535  2.61815  5.56839
