phi1      Phi     phi2
306.257  142.014  232.669
201.801  68.7080  187.633
334.659  94.2138  134.033
250.800  125.147  337.368
209.805  143.414  298.632
293.543  49.6730  305.671
316.445  130.540  134.112
356.008  132.288  213.546
0.18805  70.6113  314.119
311.558  37.9285  336.061
220.524  88.1022  240.647
356.382  66.0835  74.4395
189.965  133.854  235.386
172.628  24.9177  25.9386
288.485  85.3098  146.422
82.0235  68.9325  240.095
179.314  157.953  336.141
324.307  51.8001  291.942
206.878  60.1826  174.437
304.264  139.431  272.430
265.911  87.1288  150.137
210.955  110.385  349.843
88.8244  84.6696  355.671
239.910  101.668  311.093
30.0538  99.7770  139.998
225.346  129.682  163.707
237.940  119.290  88.8074
262.711  163.522  282.392
320.671  32.0753  317.822
353.629  72.0974  328.936
276.850  30.0913  200.983
209.321  132.297  215.593
334.193  32.6274  53.5956
208.833  53.8915  323.897
6.11386  81.0955  162.142
43.5094  96.8880  74.0420
310.576  118.998  323.874
174.347  59.7421  274.531
304.148  122.865  317.695
75.3858  150.648  102.582
198.825  57.6792  242.361
226.758  69.9766  239.141
11.5168  64.5055  44.2134
221.297  73.4936  146.635
130.468  99.3174  99.1033
17.8317  102.620  258.001
176.245  50.7814  102.018
69.3037  111.416  322.632
44.3101  51.0178  297.568
73.9779  54.6797  140.410
52.7454  45.2086  179.245
68.0660  89.3541  250.130
15.3549  74.2570  300.373
228.671  25.6058  219.467
101.472  96.4348  206.905
193.895  151.638  117.375
250.259  42.8194  164.313
179.682  74.7888  256.966
192.888  106.849  318.386
160.266  6.27615  259.508
44.6156  123.481  6.70060
176.529  72.2477  242.920
307.079  77.8787  157.863
314.614  103.033  157.615
97.3060  135.694  42.1333
75.0461  161.756  293.285
203.393  99.0778  116.948
230.512  129.183  88.6421
150.130  63.1568  123.377
74.1512  105.027  135.249
341.256  46.9121  196.759
29.5456  62.0657  202.291
38.0554  81.8334  142.496
51.1348  130.262  143.327
59.9258  23.8272  185.532
223.545  117.992  236.711
206.536  31.8794  342.329
18.7480  123.536  260.045
335.232  104.648  144.029
262.318  145.588  299.474
265.623  73.7259  48.3618
22.8256  129.700  21.7680
